iter	Passed	Remaining
860	25284	4081
861	25317	4053
862	25351	4024
863	25381	3995
864	25411	3965
865	25441	3936
866	25471	3907
867	25499	3877
868	25528	3848
869	25553	3818
870	25578	3788
871	25603	3758
872	25629	3728
873	25659	3699
874	25693	3670
875	25729	3642
876	25763	3613
877	25795	3584
878	25827	3555
879	25861	3526
880	25891	3497
881	25924	3468
882	25953	3438
883	25979	3409
884	26008	3379
885	26039	3350
886	26072	3321
887	26107	3292
888	26138	3263
889	26171	3234
890	26202	3205
891	26240	3177
892	26270	3147
893	26307	3119
894	26338	3089
895	26363	3060
896	26388	3030
897	26413	3000
898	26439	2970
899	26465	2940
900	26489	2910
901	26514	2880
902	26540	2850
903	26565	2821
904	26593	2791
905	26623	2762
906	26651	2732
907	26683	2703
908	26713	2674
909	26744	2645
910	26775	2615
911	26803	2586
912	26833	2556
913	26867	2527
914	26900	2498
915	26931	2469
916	26956	2439
917	26982	2410
918	27010	2380
919	27038	2351
920	27064	2321
921	27093	2292
922	27121	2262
923	27147	2232
924	27173	2203
925	27197	2173
926	27221	2143
927	27247	2114
928	27273	2084
929	27300	2054
930	27326	2025
931	27351	1995
932	27379	1966
933	27406	1936
934	27433	1907
935	27460	1877
936	27486	1848
937	27513	1818
938	27539	1789
939	27564	1759
940	27590	1729
941	27602	1699
942	27626	1669
943	27650	1640
944	27675	1610
945	27700	1581
946	27725	1551
947	27749	1522
948	27774	1492
949	27798	1463
950	27823	1433
951	27851	1404
952	27875	1374
953	27903	1345
954	27927	1315
955	27953	1286
956	27978	1257
957	28004	1227
958	28030	1198
959	28055	1168
960	28082	1139
961	28107	1110
962	28134	1080
963	28161	1051
964	28188	1022
965	28213	993
966	28240	963
967	28266	934
968	28290	905
969	28319	875
970	28345	846
971	28371	817
972	28396	787
973	28421	758
974	28447	729
975	28472	700
976	28497	670
977	28527	641
978	28554	612
979	28579	583
980	28605	554
981	28631	524
982	28658	495
983	28684	466
984	28712	437
985	28737	408
986	28762	378
987	28787	349
988	28813	320
989	28839	291
990	28867	262
991	28894	233
992	28919	203
993	28944	174
994	28971	145
995	28998	116
996	29025	87
997	29049	58
998	29073	29
999	29099	0
